,Species ,Body mass,Species 1,Species Bird tree,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
30,ABF,9.8,Muscicapa dauurica,Muscicapa_dauurica,9057,Muscicapidae,Passeriformes,AVIBASE-1E7228CE,5,2,3,0,4,13.1,8,4.6,3.5,13.7,68.2,20.3,48.9,29.4,46.8,9.8,Dunning,NA,NO,NA,NA,Woodland,1,3,Carnivore,Invertivore,Insessorial,-5.7,63.53,48.12,113.45,6794474.03
14,AD,37.6,Dicrurus leucophaeus,Dicrurus_leucophaeus,6756,Dicruridae,Passeriformes,AVIBASE-5FD53BB1,21,4,17,0,14,25.4,16.7,9.3,8.4,18.6,134.8,42.4,91.8,31.5,134.7,37.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.96,44.66,25.68,107.28,6692531.66
26,AFBB,64.9,Irena puella,Irena_puella,9391,Irenidae,Passeriformes,AVIBASE-BFC86948,14,5,9,0,12,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.78,28.23,11.14,102.08,3709810.22
62,BB,102.7,Turdus simillimus,Turdus_merula,,Turdidae,Passeriformes,AVIBASE-CED9626E,8,4,4,0,4,25.6,15.3,5.3,7.2,31,126.4,26.3,100.1,20.8,102.2,102.7,,,,,,,,,,,,,,,,
51,BCBBL,16.3,Rhopocichla atriceps,Rhopocichla_atriceps,8299,Timaliidae,Passeriformes,AVIBASE-B517FCCC,5,2,3,0,4,14.5,7.8,3.2,4,21.1,58.6,4.2,54.5,7.2,47.8,16.3,Dunning,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Generalist,5.92,19.72,12.74,76.41,229794.31
3,BCF,20.7,Alcippe poioicephala,Alcippe_poioicephala,8381,Leiotrichidae,Passeriformes,AVIBASE-E4C78D6C,5,2,3,0,4,14.7,8.2,3.6,4.2,21.2,69.5,7.5,61.6,10.9,65.5,20.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,8.08,27.5,20.28,91.99,2023970.47
11,BCPW,19,Picoides nanus,Dendrocopos_nanus,3947,Picidae,Piciformes,AVIBASE-DB8E1EC2,5,2,3,0,4,13.8,10.5,4.1,4.4,13.5,76.4,21.1,55.9,27.4,36,16.2,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,5.92,32.21,20.85,79.3,2390435.35
12,BD,26,Dicrurus aeneus,Dicrurus_aeneus,6759,Dicruridae,Passeriformes,AVIBASE-DD177B0B,12,1,10,1,5,21.6,13.3,7.6,6.1,16,116.9,34.4,82.5,29.4,84.6,26,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,31.13,14.77,98.92,4639369.76
6,BHCS,29.6,Lalage melanoptera,Coracina_melanoptera,6522,Campephagidae,Passeriformes,AVIBASE-58BC7F5D,10,2,8,0,4,19.3,10.8,5.7,5.1,20.8,100.2,27.1,73.1,27,72.5,29.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,5.92,32.41,20.13,79.43,993885.08
37,BLTIT,18.9,Machlolophus xanthogenys,Parus_xanthogenys,7230,Paridae,Passeriformes,AVIBASE-BF36A3F8,8,4,4,0,8,11.3,8.2,3.9,4.6,17.1,71,12.3,58.7,17.3,55.1,14.8,Dunning,NA,NO,NA,NA,Forest,1,2,Omnivore,Invertivore,Insessorial,9,32.65,22.07,79.19,1118561.25
24,BNM,11.1,Hypothymis azurea,Hypothymis_azurea,6861,Monarchidae,Passeriformes,AVIBASE-0AC5BA0A,6,2,2,2,4,11.8,8.5,4.6,3.7,15.8,69.8,11.1,58.6,16,75.2,11.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.11,31,16.05,98.4,7041185.04
