"","Psittacula_columboides","Psittacula_cyanocephala","Loriculus_vernalis","Coracina_melanoptera","Coracina_macei","Pericrocotus_flammeus","Pericrocotus_cinnamomeus","Aegithina_tiphia","Hemipus_picatus","Tephrodornis_gularis","Dendrocitta_vagabunda","Terpsiphone_paradisi","Hypothymis_azurea","Dicrurus_caerulescens","Dicrurus_paradiseus","Dicrurus_leucophaeus","Dicrurus_aeneus","Oriolus_chinensis","Oriolus_oriolus","Culicicapa_ceylonensis","Parus_xanthogenys","Parus_major","Phylloscopus_nitidus","Phylloscopus_magnirostris","Orthotomus_sutorius","Alcippe_poioicephala","Pellorneum_ruficeps","Turdoides_striata","Turdoides_subrufa","Rhopocichla_atriceps","Zosterops_palpebrosus","Pycnonotus_melanicterus","Pycnonotus_jocosus","Pycnonotus_priocephalus","Pycnonotus_cafer","Iole_indica","Gracula_religiosa","Sturnus_malabaricus","Acridotheres_fuscus","Turdus_merula","Cyornis_tickelliae","Eumyias_thalassinus","Muscicapa_dauurica","Sitta_frontalis","Sitta_castanea","Dicaeum_concolor","Nectarinia_minima","Nectarinia_asiatica","Irena_puella","Harpactes_fasciatus","Megalaima_viridis","Dinopium_benghalense","Dinopium_shorii","Dinopium_javanense","Picus_chlorolophus","Picus_squamatus","Chrysocolaptes_lucidus","Dendrocopos_mahrattensis","Dendrocopos_nanus","Hemicircus_canente","Picumnus_innominatus","Merops_leschenaulti"
"Species","Psittacula_columboides","Psittacula_cyanocephala","Loriculus_vernalis","Coracina_melanoptera","Coracina_macei","Pericrocotus_flammeus","Pericrocotus_cinnamomeus","Aegithina_tiphia","Hemipus_picatus","Tephrodornis_gularis","Dendrocitta_vagabunda","Terpsiphone_paradisi","Hypothymis_azurea","Dicrurus_caerulescens","Dicrurus_paradiseus","Dicrurus_leucophaeus","Dicrurus_aeneus","Oriolus_chinensis","Oriolus_oriolus","Culicicapa_ceylonensis","Parus_xanthogenys","Parus_major","Phylloscopus_nitidus","Phylloscopus_magnirostris","Orthotomus_sutorius","Alcippe_poioicephala","Pellorneum_ruficeps","Turdoides_striata","Turdoides_subrufa","Rhopocichla_atriceps","Zosterops_palpebrosus","Pycnonotus_melanicterus","Pycnonotus_jocosus","Pycnonotus_priocephalus","Pycnonotus_cafer","Iole_indica","Gracula_religiosa","Sturnus_malabaricus","Acridotheres_fuscus","Turdus_merula","Cyornis_tickelliae","Eumyias_thalassinus","Muscicapa_dauurica","Sitta_frontalis","Sitta_castanea","Dicaeum_concolor","Nectarinia_minima","Nectarinia_asiatica","Irena_puella","Harpactes_fasciatus","Megalaima_viridis","Dinopium_benghalense","Dinopium_shorii","Dinopium_javanense","Picus_chlorolophus","Picus_squamatus","Chrysocolaptes_lucidus","Dendrocopos_mahrattensis","Dendrocopos_nanus","Hemicircus_canente","Picumnus_innominatus","Merops_leschenaulti"
"F001","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"F002","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F003","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F005","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"F006","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"F008","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"F010","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F011","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
